住居名,url,家賃,住所,最寄り駅,岡山駅までの距離,学校までの距離,間取り,専用設備,共通設備
エスポアール津島,https://unilife.co.jp/view/10520,4.95万円 ～ 5.9万円,岡山県岡山市北区津島新野1丁目7-14,"岡電バス「新野」停徒歩3分
ＪＲ津山線「法界院」駅 徒歩15分",2.1 km,1.8 km,1K／29.58m²／10.2帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / IH+RHコンロ(2口) / 玄関センサー感知ライト / 居室照明器具 / フローリング / 吊棚 / 収納 / シューズケース / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン / オール電化(ガス無し),BSアンテナ / CSアンテナ / インターネット対応 / オートロック / 宅配BOX / 浄水器設置(共用) / 駐車場(任意) / 駐輪場(原付可)
第2熊谷ビル,https://unilife.co.jp/view/11094,3.65万円 ～ 4.35万円,岡山県岡山市北区津島新野1丁目5-1,"岡電バス「岡山大学筋」停徒歩2分
ＪＲ津山線「法界院」駅 徒歩12分",2.0 km,1.9 km,1K／21.29m²～25m²／6帖～8帖,セパレート（バス・トイレ） / 温水洗浄便座 / ガスコンロ(2口) / フローリング / バルコニー / 収納 / インターフォン（TVモニター付) / エアコン / 個別給湯（ガス）,インターネット対応（無料） / 駐輪場(原付可)
ウィンライフ津島Ⅰ,https://unilife.co.jp/view/1180,4.45万円 ～ 4.75万円,岡山県岡山市北区津島福居2丁目12-30,"岡電バス「福居２丁目」停徒歩1分
ＪＲ津山線「法界院」駅 自転車8分(約1.8km)",3.2 km,2.1 km,1K／24.7m²／8帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / 家電付(一部) / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン,BS・CSアンテナ / CATV / インターネット対応 / 駐車場(任意) / 駐輪場(原付可)
フレシャトー津島,https://unilife.co.jp/view/10146,4.8万円 ～ 5.55万円,岡山県岡山市北区津島福居1丁目8-57,"岡電バス「福居1丁目」停徒歩3分
ＪＲ津山線「法界院」駅 自転車8分(約1.8km)",3.1 km,1.8 km,1DK／30.17m²／13.7帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / IH+RHコンロ(2口) / 玄関センサー感知ライト / 居室照明器具 / バルコニー / 収納 / シューズケース / 吊棚 / インターフォン（TVモニター付) / 暗証番号式キー / エアコン,BS・CSアンテナ / インターネット(Wi-Fi対応) / オートロック / 防犯カメラ / 浄水器設置(共用) / 宅配BOX / 駐車場(任意) / 駐輪場(原付可)
LAGOM,https://unilife.co.jp/view/10157,"4.75万円 ～ 5.9万円
（1LDKタイプ：6.0万円～6.5万円）",岡山県岡山市北区学南町2丁目6-24-2,"岡電バス「岡大入口」 徒歩2分
ＪＲ津山線「法界院」駅 徒歩10分",2.1 km,2.0 km,1K～1LDK／27.3m²～35.2m²／9.2帖～14.5帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / RHコンロ(2口) / 玄関センサー感知ライト / 居室照明器具 / バルコニー / フローリング / 収納 / シューズケース / 暗証番号式キー / エアコン,プロパンガス / BSアンテナ / CSアンテナ / インターネット(Wi-Fi対応) / オートロック / 防犯カメラ / 宅配BOX / 浄水器設置(共用) / 駐輪場(原付可)
重康第一コーポ,https://unilife.co.jp/view/10194,2.8万円 ～ 3.1万円,岡山県岡山市北区伊福町3丁目18-20,"岡電バス「岡工前」停徒歩4分
ＪＲ山陽本線「岡山」駅 徒歩15分
ＪＲ津山線「岡山」駅 徒歩15分",1.1 km,2.0 km,1K／26.5m²／6.5帖～7帖,セパレート（バス・トイレ） / 洗濯機置場(室外) / 温水洗浄便座 / ガスコンロ(持込) / 居室照明器具 / フローリング / バルコニー / 収納 / エアコン,BSアンテナ / CSアンテナ / CATV / インターネット対応 / 駐輪場(原付可)
ラピスラズリー88,https://unilife.co.jp/view/10196,4.2万円 ～ 4.9万円,岡山県岡山市北区伊福町3丁目21-6,"岡電バス「岡工前」停徒歩3分
ＪＲ山陽本線「岡山」駅 徒歩15分
ＪＲ津山線「岡山」駅 徒歩15分
ＪＲ吉備線「岡山」駅 徒歩15分",1.2 km,2.0 km,1K／25.2m²～30.24m²／8帖～12帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / 居室照明器具 / フローリング / バルコニー / 収納 / シューズケース / エアコン,インターネット対応 / オートロック / フロント手動ロック / 駐車場(任意) / 駐輪場(原付可)
メゾン・ド・ジュネス,https://unilife.co.jp/view/11124,3.3万円 ～ 3.7万円,岡山県岡山市北区津倉町2丁目9-22,"中鉄バス「津倉町」停徒歩4分
ＪＲ吉備線「備前三門」駅 徒歩12分
ＪＲ山陽本線「岡山」駅 徒歩18分
ＪＲ津山線「岡山」駅 徒歩18分",1.4 km,2.1 km,1K／20.38m²～23.69m²／6帖～7帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / IHコンロ(1口) / 家電付(一部) / 居室照明器具 / フローリング / バルコニー / 収納 / インターフォン（TVモニター付) / エアコン,インターネット対応（無料） / 駐車場(任意) / 駐輪場(原付可)
アーバンテラス学南町,https://unilife.co.jp/view/11606,5.75万円 ～ 6.2万円,岡山県岡山市北区学南町2丁目9-29-2,ＪＲ津山線「法界院」駅 徒歩9分,2.3 km,2.2 km,1K／30m²,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ(2口) / 居室照明器具 / バルコニー / フローリング / WINクローゼット / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン / 個別給湯（ガス）,プロパンガス / BSアンテナ / CSアンテナ / インターネット対応（無料） / オートロック / 防犯カメラ / 宅配BOX / 駐輪場(原付可)
St.LEONE 伊福町,https://unilife.co.jp/view/11607,5万円 ～ 5.6万円,岡山県岡山市北区伊福町3丁目14-9,"岡電・中鉄バス「岡工口」停徒歩3分
ＪＲ山陽本線「岡山」駅 徒歩13分",1.0 km,2.1 km,1K／26.06m²～27.4m²／8帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / ガスコンロ(2口) / 居室照明器具 / バルコニー / シューズケース / 収納 / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン / 個別給湯（ガス）,プロパンガス / CATV / BS・CSアンテナ / インターネット対応（無料） / オートロック / 防犯カメラ / 宅配BOX / 自動販売機 / 駐輪場
St.LEONE 津倉町,https://unilife.co.jp/view/11611,4.8万円 ～ 5.25万円,岡山県岡山市北区津倉町2丁目10-11,"中鉄バス「津倉町」停徒歩4分
ＪＲ山陽本線「岡山」駅 自転車7分(約1.7km)",1.4 km,2.0 km,1K／26.87m²～29.27m²／8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / 浴室乾燥機 / ガスコンロ(2口) / バルコニー / フローリング / 収納 / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン,BSアンテナ / CSアンテナ / インターネット対応（無料） / オートロック / 防犯カメラ / 宅配BOX / 駐輪場
ジュピター・K2,https://unilife.co.jp/view/1136,4.85万円 ～ 5.35万円,岡山県岡山市北区学南町2丁目13-23,"岡電バス「岡山大学筋」 徒歩6分
ＪＲ津山線「法界院」駅 徒歩4分",2.5 km,2.4 km,1K／24m²／8帖,セパレート（バス・トイレ） / 洗濯機 / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(1口) / 家具家電付 / 冷蔵庫（２ドア） / 居室照明器具 / 電子レンジ / ベッド / バルコニー / フローリング / 収納 / シューズケース / インターフォン / エアコン / 個別給湯（ガス）,プロパンガス / BSアンテナ / CSアンテナ / インターネット(Wi-Fi対応) / オートロック / 防犯カメラ（ユニセーフ24仕様） / 宅配BOX / 自動販売機 / 駐車場(任意) / 駐輪場(原付可)
NEXTAGE伊福,https://unilife.co.jp/view/1363,4.75万円 ～ 5.65万円,岡山県岡山市北区伊福町2丁目17-37,"岡電バス「清心町」停徒歩3分
ＪＲ山陽本線「岡山」駅 徒歩10分
ＪＲ津山線「岡山」駅 徒歩10分
ＪＲ吉備線「岡山」駅 徒歩10分",900 m,2.3 km,1K／27.2m²／10帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / IH+RHコンロ(2口) / システムキッチン / 家具家電付(一部) / 居室照明器具 / バルコニー / フローリング / シューズケース / 吊棚 / 収納 / インターフォン（TVモニター付) / 暗証番号式キー / エアコン,BSアンテナ / CSアンテナ / インターネット(Wi-Fi対応) / オートロック / 防犯カメラ / 防犯カメラシステム / 宅配BOX / 浄水器設置(共用) / 駐輪場(原付可)
エスパースSO,https://unilife.co.jp/view/1409,4.9万円 ～ 5.2万円,岡山県岡山市北区学南町2丁目5-67-3,"岡電バス「岡山大学筋」停徒歩5分
ＪＲ津山線「法界院」駅 徒歩7分",2.1 km,2.2 km,1K／24.5m²／8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / 追焚き機能付バス / ガスコンロ(1口) / 電気コンロ / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン,インターネット対応 / オートロック / 駐輪場(原付可) / 駐車場(任意)
メディアコムプランタン,https://unilife.co.jp/view/10348,3.9万円 ～ 4.5万円,岡山県岡山市北区伊福町2丁目17-38,"岡電バス「清心町」停徒歩4分
ＪＲ山陽本線「岡山」駅 徒歩12分
ＪＲ津山線「岡山」駅 徒歩12分
ＪＲ吉備線「岡山」駅 徒歩12分",900 m,2.3 km,1K／24.5m²／7.5帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(1口) / 居室照明器具 / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン,BSアンテナ / インターネット対応（無料） / オートロック / 駐輪場(原付可)
デューク伊福町,https://unilife.co.jp/view/10375,3.35万円 ～ 4.4万円,岡山県岡山市北区伊福町3丁目14-8-1,"岡電バス「岡工口」停徒歩3分
ＪＲ山陽本線「岡山」駅 徒歩13分
ＪＲ津山線「岡山」駅 徒歩13分
ＪＲ吉備線「岡山」駅 徒歩13分",1.0 km,2.2 km,1K／20m²～22m²／7.5帖,ユニットバス / セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(2口) / 家具家電付(一部) / 居室照明器具 / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン,CATV / インターネット(Wi-Fi対応) / オートロック / 防犯カメラ / 宅配BOX / 駐輪場(原付可)
ワイスリー学南,https://unilife.co.jp/view/10521,4.85万円 ～ 5.75万円,岡山県岡山市北区学南町1丁目1-1,"岡電バス「スポーツセンター前」停徒歩2分
ＪＲ山陽本線「岡山」駅 自転車8分(約1.8km)
ＪＲ津山線「法界院」駅 徒歩13分",1.4 km,2.2 km,1K～1LDK／27.91m²～31.2m²／9帖～12.5帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / ガスコンロ(3口) / システムキッチン / 居室照明器具 / 玄関センサー感知ライト / バルコニー / フローリング / 収納 / シューズケース / 吊棚 / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン / 個別給湯（ガス）,プロパンガス / BSアンテナ / CSアンテナ / インターネット(Wi-Fi対応) / オートロック / 防犯カメラ / 宅配BOX / 駐輪場(原付可)
トゥレ・カーサ伊福町,https://unilife.co.jp/view/10557,3.65万円 ～ 4.3万円,岡山県岡山市北区伊福町3丁目14-8-2,"岡電バス「岡工口」停徒歩3分
ＪＲ山陽本線「岡山」駅 徒歩13分
ＪＲ津山線「岡山」駅 徒歩13分
ＪＲ吉備線「岡山」駅 徒歩13分",1.0 km,2.2 km,1K／21.33m²／7.5帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 暖房便座 / IHコンロ(1口) / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン,CATV / インターネット対応 / オートロック / 防犯カメラ / 駐輪場(原付可)
クレストTO,https://unilife.co.jp/view/10807,5.2万円 ～ 5.9万円,岡山県岡山市北区学南町2丁目13-21,"岡電バス「岡山大学筋」停徒歩6分
ＪＲ津山線「法界院」駅 徒歩4分",2.5 km,2.4 km,1K／33m²～35.78m²／10.8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ(2口) / システムキッチン / バルコニー / フローリング / 収納 / シューズケース / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン,BSアンテナ / インターネット対応 / オートロック / 防犯カメラ / 駐輪場(原付可) / 駐車場(任意)
エステートタケタニ,https://unilife.co.jp/view/11174,3万円 ～ 3.4万円,岡山県岡山市北区南方5丁目10-6,"岡電バス「スポーツセンター前」停徒歩3分
ＪＲ山陽本線「岡山」駅 徒歩17分
ＪＲ津山線「法界院」駅 徒歩17分",1.3 km,2.5 km,1R～3DK／17.54m²～21.32m²／7帖～8帖,ユニットバス / セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ(1口) / 居室照明器具 / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,
シリウス・T,https://unilife.co.jp/view/11169,"5.4万円 ～ 5.65万円
（1LDKタイプ：6.8万円～7.3万円）",岡山県岡山市北区伊福町3丁目3-4,"岡電バス「伊福町1丁目」停徒歩1分
ＪＲ山陽本線「岡山」駅 徒歩10分",800 m,2.3 km,1K～1LDK／31.6m²～42.03m²／10.2帖～18.1帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ(2口) / システムキッチン / バルコニー / フローリング / 収納 / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン / オール電化(ガス無し),BSアンテナ / CSアンテナ / インターネット対応 / オートロック / 防犯カメラ / 駐輪場(原付可)
Pal Grande学南町,https://unilife.co.jp/view/11227,4.85万円 ～ 6.25万円,岡山県岡山市北区学南町3丁目2-24,"岡電バス「岡山放送前」停　徒歩7分
ＪＲ津山線「法界院」駅 徒歩7分
ＪＲ山陽本線「岡山」駅 自転車9分(約2.0km)",2.1 km,2.3 km,1K／30.63m²～32.86m²／10帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / 浴室乾燥機 / 追焚き機能付バス / IHコンロ(2口) / システムキッチン / 居室照明器具 / バルコニー / フローリング / 収納 / シューズケース / WINクローゼット(一部) / インターフォン（TVモニター付) / 暗証番号式キー / エアコン / 個別給湯（ガス）,プロパンガス / BSアンテナ / CSアンテナ / インターネット対応（無料） / オートロック / 防犯カメラ / 宅配BOX / 駐輪場(原付可) / 駐車場(任意)
パレハ学南町,https://unilife.co.jp/view/11415,4.95万円 ～ 5.65万円,岡山県岡山市北区学南町2丁目9-13,"岡電バス「岡大入口」 徒歩5分
ＪＲ津山線「法界院」駅 徒歩8分",2.3 km,2.3 km,1K／26m²～27.95m²／7.7帖～8.4帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / 浴室乾燥機 / 追焚き機能付バス / IHコンロ(2口) / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,BSアンテナ / インターネット対応 / オートロック / 防犯カメラ / 自動販売機 / 宅配BOX / 駐輪場(原付可)
Dortmund学南町,https://unilife.co.jp/view/11847,5.6万円 ～ 5.95万円,岡山県岡山市北区学南町1丁目9-24,"ＪＲ津山線「法界院」駅 徒歩11分
ＪＲ山陽本線「岡山」駅 自転車8分(約1.9km)",1.8 km,2.4 km,1K／27.3m²／9帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 追焚き機能付バス / 温水洗浄便座 / 浴室乾燥機 / IHコンロ(2口) / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,BSアンテナ / インターネット対応（無料） / オートロック / 防犯カメラ / 宅配BOX / 自動販売機 / 駐輪場(原付可) / 駐車場(任意)
The MODERN 学南町,https://unilife.co.jp/view/12023,5.7万円 ～ 6.2万円,岡山県岡山市北区学南町1丁目6-29-6,"ＪＲ津山線「法界院」駅 徒歩11分
ＪＲ山陽本線「岡山」駅 自転車7分(約1.7km)",1.7 km,2.3 km,1K／26.07m²～26.08m²／8帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / IHコンロ(2口) / 居室照明器具 / バルコニー / フローリング / シューズケース / 吊棚 / 収納 / インターフォン（TVモニター付) / エアコン / 個別給湯（ガス）,BSアンテナ / CSアンテナ / インターネット対応（無料） / オートロック / 防犯カメラ / 宅配BOX / 駐輪場(原付可)
Eminence,https://unilife.co.jp/view/12002,5.5万円 ～ 5.95万円,岡山県岡山市北区南方5丁目6-14,"ＪＲ山陽本線「岡山」駅 自転車7分(約1.7km)
ＪＲ津山線「法界院」駅 徒歩14分",1.5 km,2.3 km,1K／28.19m²／9.1帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / 浴室乾燥機 / IHコンロ(2口) / バルコニー / フローリング / 収納 / シューズケース / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン,BSアンテナ / CSアンテナ / インターネット対応（無料） / オートロック / 防犯カメラ / 宅配BOX / 駐輪場(原付可)
アーバンテラス奉還町,https://unilife.co.jp/view/12177,4.95万円 ～ 5.5万円,岡山県岡山市北区奉還町4丁目15-6,ＪＲ山陽本線「岡山」駅 徒歩13分,1.0 km,2.4 km,1K／29.6m²／9.5帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / 浴室乾燥機 / IHコンロ(2口) / 居室照明器具 / バルコニー / フローリング / 吊棚 / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,BSアンテナ / インターネット対応（無料） / オートロック / 防犯カメラ / 宅配BOX / 駐輪場(原付可)
アヴァンセ・ルピエ,https://unilife.co.jp/view/1264,5.3万円 ～ 5.7万円,岡山県岡山市北区学南町3丁目14-47,"岡電バス「法界院駅前」停 徒歩4分
ＪＲ津山線「法界院」駅 徒歩2分",2.6 km,2.6 km,1K／27.8m²／9.7帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / RHコンロ(2口) / フローリング / 収納 / インターフォン（TVモニター付) / 暗証番号式キー / エアコン,BSアンテナ / CSアンテナ / インターネット対応 / オートロック / 防犯カメラ / 宅配BOX / 駐輪場(原付可)
セレッソ学南A・B棟,https://unilife.co.jp/view/1327,4.1万円 ～ 4.3万円,岡山県岡山市北区学南町3丁目4-21,"岡電バス「法界院駅前」停徒歩7分
ＪＲ津山線「法界院」駅 徒歩4分",2.3 km,2.5 km,1K／19m²／6帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ(1口) / 居室照明器具 / バルコニー / フローリング / 収納 / シューズケース / インターフォン / エアコン / 個別給湯（ガス）,プロパンガス / BSアンテナ / CSアンテナ / インターネット対応 / 駐輪場(原付可) / 駐車場(任意)
Asti Spumante,https://unilife.co.jp/view/1367,4.65万円 ～ 5.55万円,岡山県岡山市北区学南町3丁目9-28,"岡電バス「法界院駅前」停 徒歩3分
ＪＲ津山線「法界院」駅 徒歩2分",2.5 km,2.6 km,1K／22.19m²～26.68m²／6.6帖～8.8帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / 浴室乾燥機(一部) / RHコンロ(2口) / 玄関センサー感知ライト / 居室照明器具 / バルコニー / フローリング / 収納 / シューズケース / 吊棚 / インターフォン（TVモニター付) / 暗証番号式キー / エアコン / 個別給湯（ガス）,都市ガス / BSアンテナ / CSアンテナ / インターネット(Wi-Fi対応) / オートロック / 防犯カメラ / 宅配BOX / 浄水器設置(共用) / 駐輪場(原付可)
シャトールピエ,https://unilife.co.jp/view/10380,3.9万円 ～ 4.3万円,岡山県岡山市北区学南町3丁目14-48,ＪＲ津山線「法界院」駅 徒歩3分,2.6 km,2.6 km,1K／22.29m²～25.48m²／6帖～7帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / ガスコンロ(持込) / フローリング / バルコニー / 収納 / エアコン,BSアンテナ / CSアンテナ / インターネット対応
Mozambique,https://unilife.co.jp/view/11650,5.65万円 ～ 6.15万円,岡山県岡山市北区伊福町2丁目4-6,"岡電バス「伊福町1丁目」停徒歩2分
ＪＲ山陽本線「岡山」駅 徒歩10分",700 m,2.4 km,1K／25.6m²／8帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / IH+RHコンロ(2口) / 居室照明器具 / バルコニー / フローリング / シューズケース / WINクローゼット / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン / 個別給湯（ガス）,プロパンガス / BSアンテナ / UniLife-net光(FGBB) Wi-Fi対応 / インターネット対応（無料） / オートロック / 防犯カメラ / 宅配BOX / 駐輪場(原付可)
ウェーブレジデンス南方,https://unilife.co.jp/view/11306,4.7万円 ～ 5.2万円,岡山県岡山市北区南方3丁目3-40,"岡電・宇野バス「南方交番前」停　徒歩3分
ＪＲ山陽本線「岡山」駅 徒歩17分
ＪＲ津山線「法界院」駅 徒歩17分",1.4 km,2.8 km,1K／24.1m²／8帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 追焚き機能付バス / 温水洗浄便座 / ガスコンロ(2口) / ガスコンロ(1口) / 居室照明器具 / フローリング / バルコニー / 収納 / シューズケース / インターフォン（TVモニター付) / エアコン,BSアンテナ / インターネット対応（無料） / 防犯カメラ / 宅配BOX / 駐輪場(原付可)
The MODERN奉還町,https://unilife.co.jp/view/11735,5.8万円 ～ 6.6万円,岡山県岡山市北区奉還町2丁目10-18,"岡電バス「奉還町」停 徒歩5分
ＪＲ山陽本線「岡山」駅 徒歩8分",550 m,2.6 km,1K／28.9m²～30.5m²／8.8帖～9.8帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 浴室乾燥機 / 温水洗浄便座 / IHコンロ(2口) / IHコンロ / 居室照明器具 / バルコニー / フローリング / 収納 / シューズケース / エアコン / 個別給湯（ガス）,BSアンテナ / CSアンテナ / インターネット対応（無料） / オートロック / 防犯カメラ / エレベーター / 宅配BOX / 駐輪場
St.LEONE津島東Ⅱ WEST・EAST,https://unilife.co.jp/view/12066,4.95万円 ～ 5.4万円,岡山県岡山市北区津島東2丁目1-8,ＪＲ津山線「法界院」駅 徒歩6分,3.0 km,2.8 km,1K／22.2m²／7帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 温水洗浄便座 / IHコンロ(1口) / フローリング / 収納 / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン,BSアンテナ / CSアンテナ / インターネット対応（無料） / オートロック / 宅配BOX / 駐輪場(原付可) / 駐車場(任意)
レジディア岡山駅前,https://unilife.co.jp/view/1177,"4.95万円 ～ 5.6万円
（10Fグルニエタイプ：5.9万円～6.15万円）",岡山県岡山市北区寿町6-3,ＪＲ山陽本線「岡山」駅 徒歩6分,300 m,2.8 km,1DK／28.37m²／12.7帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 浴室スチームサウナ / 浴室テレビ / 浴室音響システム / 温水洗浄便座 / 浴室乾燥機(一部) / RHコンロ(2口) / システムキッチン / 玄関センサー感知ライト / バルコニー / フローリング / 収納 / シューズケース / インターフォン（TVモニター付) / 暗証番号式キー / エアコン / 個別給湯（ガス）,都市ガス / BSアンテナ / CSアンテナ / インターネット(Wi-Fi対応) / オートロック / 防犯カメラ / 防犯カメラシステム / エレベーター（フロアセキュリティ付） / 浄水器設置(共用) / 宅配BOX / 駐車場(任意) / 駐輪場(原付可)
シティマンション鳳凰A・B,https://unilife.co.jp/view/1270,3.95万円 ～ 5.3万円,岡山県岡山市北区絵図町1-37,"岡電バス「スポーツセンター前」停徒歩1分
ＪＲ山陽本線「岡山」駅 徒歩14分
ＪＲ津山線「法界院」駅 徒歩18分
ＪＲ津山線「岡山」駅 徒歩14分",1.2 km,2.4 km,1R～1DK／20.4m²～30.2m²／7帖～13帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / IHコンロ(1口) / 居室照明器具 / バルコニー / フローリング / 収納 / シューズケース / エアコン,BSアンテナ / CSアンテナ / CATV / インターネット対応 / オートロック / 駐輪場(原付可)
Grand E’terna 岡山Ⅲ,https://unilife.co.jp/view/10152,"4.55万円 ～ 6.2万円
（1LDK・14Fグルニエ・トリプレットタイプ：5.8万円～6.95万円）",岡山県岡山市北区国体町1-10,"岡電バス「済生会病院前」停徒歩1分
ＪＲ山陽本線「岡山」駅 徒歩7分",600 m,2.7 km,1R～1LDK／22.56m²～51.96m²／9.1帖～15.3帖,独立洗面化粧台 / セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / 浴室音響システム / 浴室テレビ / 浴室乾燥機(一部) / ガスコンロ(2口) / RHコンロ(2口) / システムキッチン / 家具家電付(一部) / 居室照明器具 / 玄関センサー感知ライト / バルコニー / フローリング / 吊棚 / 収納 / シューズケース / インターフォン（TVモニター付) / 暗証番号式キー / エアコン / 個別給湯（ガス）,都市ガス / BSアンテナ / CSアンテナ / UniLife-net光(J-FLASH) Wi-Fi対応 / インターネット(Wi-Fi対応) / オートロック / 防犯カメラシステム / 防犯カメラ（ユニセーフ24仕様） / エレベーター / エレベーター（フロアセキュリティ付） / 宅配BOX / 浄水器設置(共用) / 花粉除去エアシャワー / 駐輪場(原付可) / 駐車場(任意)
SECONDピアシティー南方,https://unilife.co.jp/view/12292,4.95万円 ～ 5.4万円,岡山県岡山市北区南方4丁目6-33,"岡電バス「スポーツセンター前」停徒歩6分
ＪＲ津山線「法界院」駅 徒歩13分
ＪＲ山陽本線「岡山」駅 徒歩18分",1.5 km,2.6 km,1K／31.5m²／11.2帖,セパレート（バス・トイレ） / 独立洗面化粧台 / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(持込) / ガスコンロ(2口) / 居室照明器具 / フローリング / バルコニー / 収納 / シューズケース / インターフォン / エアコン,インターネット対応（無料） / オートロック / 駐輪場 / 駐輪場(原付可) / 駐車場(任意)
ネクステージ大和,https://unilife.co.jp/view/11533,3.75万円 ～ 4.25万円,岡山県岡山市北区大和町1丁目5-5,"岡電バス「大和町」停徒歩4分
ＪＲ津山線「法界院」駅 徒歩12分",2.0 km,2.5 km,1K／20.9m²～22.5m²／6帖～7.5帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / ガスコンロ(2口) / 家具家電付(一部) / 居室照明器具 / バルコニー / 収納 / シューズケース / 防犯ディンプルキー / エアコン,CATV / インターネット対応（無料） / 防犯カメラ / 駐車場(任意) / 駐輪場(原付可)
Bremen津島東,https://unilife.co.jp/view/12042,5.1万円 ～ 5.4万円,岡山県岡山市北区津島東2丁目5-9-1,"岡電バス「津島東3丁目」停徒歩3分
ＪＲ津山線「法界院」駅 徒歩10分",3.1 km,3.0 km,1K／24.84m²～26.08m²／7.5帖～8帖,セパレート（バス・トイレ） / 洗濯機置場(室内) / 温水洗浄便座 / 浴室乾燥機 / IHコンロ(2口) / フローリング / 防犯シャッター / 収納 / シューズケース / インターフォン（TVモニター付) / 防犯ディンプルキー / エアコン,インターネット対応（無料） / オートロック / 防犯カメラ / 宅配BOX / 駐輪場(原付可)
